root,name,profile,ranks,aggs,steps,run_id,time_secs,time_secs_base,ratio
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run1,00_noorca,512,1,20,1,2.5321,2.5321,1.0
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run2,00_noorca,512,1,20,2,2.5325,2.5325,1.0
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run3,00_noorca,512,1,20,3,2.5296,2.5296,1.0
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run1,05_or_trace_mpisync,512,1,20,1,2.5777,2.5321,1.018008767426247
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run2,05_or_trace_mpisync,512,1,20,2,2.572,2.5325,1.0155972359328727
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run3,05_or_trace_mpisync,512,1,20,3,2.5708,2.5296,1.0162871600253005
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run1,07_or_tracetgt,512,1,20,1,2.6011,2.5321,1.0272501086055055
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run2,07_or_tracetgt,512,1,20,2,2.5936,2.5325,1.0241263573543928
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run3,07_or_tracetgt,512,1,20,3,2.6008,2.5296,1.028146742567995
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run1,18_or_tcp_tracesync,512,2,20,1,3.68,2.5321,1.4533391256269501
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run2,18_or_tcp_tracesync,512,2,20,2,3.6536,2.5325,1.4426850937808489
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run3,18_or_tcp_tracesync,512,2,20,3,3.6678,2.5296,1.4499525616698294
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run1,19_or_tcp_tracetgt,512,2,20,1,3.9396,2.5321,1.555862722641286
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run2,19_or_tcp_tracetgt,512,2,20,2,3.9585,2.5325,1.5630799605133265
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run3,19_or_tcp_tracetgt,512,2,20,3,3.9609,2.5296,1.5658206831119545
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run1,00_noorca,512,1,200,1,26.6952,26.6952,1.0
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run2,00_noorca,512,1,200,2,26.7018,26.7018,1.0
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run3,00_noorca,512,1,200,3,26.7116,26.7116,1.0
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run1,05_or_trace_mpisync,512,1,200,1,27.0258,26.6952,1.0123842488537265
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run2,05_or_trace_mpisync,512,1,200,2,27.0681,26.7018,1.0137181763027212
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run3,05_or_trace_mpisync,512,1,200,3,26.9942,26.7116,1.0105796732505727
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run1,07_or_tracetgt,512,1,200,1,27.2919,26.6952,1.022352333003686
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run2,07_or_tracetgt,512,1,200,2,27.2131,26.7018,1.019148521822499
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run3,07_or_tracetgt,512,1,200,3,27.1957,26.7116,1.0181232123871276
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n200-run1,18_or_tcp_tracesync,512,2,200,1,39.7523,26.6952,1.4891178938535765
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n200-run2,18_or_tcp_tracesync,512,2,200,2,39.8007,26.7018,1.490562433993214
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n200-run3,18_or_tcp_tracesync,512,2,200,3,39.7434,26.7116,1.4878704383114452
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n200-run1,19_or_tcp_tracetgt,512,2,200,1,42.5681,26.6952,1.5945975306422129
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n200-run2,19_or_tcp_tracetgt,512,2,200,2,42.6183,26.7018,1.5960834101071837
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n200-run3,19_or_tcp_tracetgt,512,2,200,3,42.5822,26.7116,1.5941463633777084
