root,name,profile,ranks,aggs,steps,run_id,trace_size,evtcnt
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run1,00_noorca,512,1,20,1,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run1,05_or_trace_mpisync,512,1,20,1,778646,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run1,07_or_tracetgt,512,1,20,1,181004917,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run1,18_or_tcp_tracesync,512,2,20,1,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run1,19_or_tcp_tracetgt,512,2,20,1,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run2,00_noorca,512,1,20,2,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run2,05_or_trace_mpisync,512,1,20,2,778443,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run2,07_or_tracetgt,512,1,20,2,181353499,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run2,18_or_tcp_tracesync,512,2,20,2,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run2,19_or_tcp_tracetgt,512,2,20,2,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run3,00_noorca,512,1,20,3,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run3,05_or_trace_mpisync,512,1,20,3,778980,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n20-run3,07_or_tracetgt,512,1,20,3,181329683,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run3,18_or_tcp_tracesync,512,2,20,3,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg2-r512-n20-run3,19_or_tcp_tracetgt,512,2,20,3,0,-1
/mnt/ltio/orcajobs/suites/20260101,amr-agg1-r512-n200-run1,00_noorca,512,1,200,1,0,-1
