label,mode,rows,ser_us,write_us,total_us,rows_per_sec,bytes,path
json,jsnl,5000000,2091930,884507,2976437,1679860.85,419078306,data_json.jsonl
csv,csv,5000000,1856891,409494,2266385,2206156.50,124081427,data_csv.csv
pq_default,parq,5000000,485047,1178346,1663393,3005904.20,69983232,data_pq_default.parquet
pq_def_snappy,parq,5000000,473771,1297752,1771523,2822430.19,48513124,data_pq_def_snappy.parquet
pq_nodict,parq,5000000,477354,574712,1052066,4752553.55,183048456,data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,465050,721549,1186599,4213723.42,56479069,data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,354184,554022,908206,5505358.92,183048456,data_pq_uncomp.parquet
pq_nostats,parq,5000000,461883,384407,846290,5908140.24,183033980,data_pq_nostats.parquet
json,jsnl,5000000,2020090,1812627,3832717,1304557.58,419082545,data_json.jsonl
csv,csv,5000000,1776987,1417388,3194375,1565251.42,124080633,data_csv.csv
pq_default,parq,5000000,360394,1569162,1929556,2591269.70,69977408,data_pq_default.parquet
pq_def_snappy,parq,5000000,461933,1529964,1991897,2510169.95,48505136,data_pq_def_snappy.parquet
pq_nodict,parq,5000000,455331,960467,1415798,3531577.24,183048456,data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,461246,1592903,2054149,2434098.01,56475911,data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,449438,1850107,2299545,2174343.19,183048456,data_pq_uncomp.parquet
pq_nostats,parq,5000000,448266,837936,1286202,3887414.26,183033980,data_pq_nostats.parquet
json,jsnl,5000000,2078332,1813821,3892153,1284636.04,419073091,data_json.jsonl
csv,csv,5000000,1845409,741367,2586776,1932907.99,124079005,data_csv.csv
pq_default,parq,5000000,448374,1714646,2163020,2311582.88,69978264,data_pq_default.parquet
pq_def_snappy,parq,5000000,456046,1545144,2001190,2498513.38,48505062,data_pq_def_snappy.parquet
pq_nodict,parq,5000000,357520,984298,1341818,3726287.77,183048456,data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,409389,832172,1241561,4027188.35,56477805,data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,458592,1898615,2357207,2121154.40,183048456,data_pq_uncomp.parquet
pq_nostats,parq,5000000,466524,1663282,2129806,2347631.66,183033980,data_pq_nostats.parquet
