query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",490117
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",147156
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",315622
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=182",194833447
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",192651472
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=19207777",191261541
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",49683
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",58606
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",301550
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=182",193580943
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",194226719
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=19207777",193970003
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",49024
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",56843
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",278489
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=182",194500405
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",191380852
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=19207777",193362649
