query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=26",137413864
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",139799602
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=16544982",141377793
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",363312
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",93432
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",303336
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=182",246533676
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",252701059
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=19207777",261425277
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=26",135509114
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",135603238
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=16544982",136306701
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",599952
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",171836
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",294539
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=182",249068114
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",249629382
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=19207777",254074391
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=26",136640830
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",136087756
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=16544982",136432778
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",466847
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",163751
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",309651
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=26",135980649
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",136681121
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=16544982",138896761
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",57476
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",65393
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",279024
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=26",140188289
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",140433405
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=16544982",138869795
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",46735
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",60597
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",290295
