query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",45291
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",62564
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",351705
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",57502
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",79083
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",314090
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",90193
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",123565
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",449380
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",125229
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=1",174812
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=21300663",897639
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",58416
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",69415
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",349351
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",57046
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",79595
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",343865
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",67783
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",125117
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",508557
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",122888
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=1",187937
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=21300663",865721
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",54574
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",73046
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4973516",320858
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",47753
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",90046
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",395829
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",78481
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",111748
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",473205
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",142415
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=1",196820
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=21300663",845786
