root,name,profile,ranks,aggs,steps,run_id,time_secs,time_secs_base,ratio
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run1,00_noorca,512,1,20,1,2.5147,2.5147,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run2,00_noorca,512,1,20,2,2.5277,2.5277,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run3,00_noorca,512,1,20,3,2.5089,2.5089,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run1,13_scorep,512,1,20,1,2.6175,2.5147,1.0408796277886032
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run2,13_scorep,512,1,20,2,2.6326,2.5277,1.041500178027456
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run3,13_scorep,512,1,20,3,2.6261,2.5089,1.0467136992307386
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run1,17_caliper_tracetgt,512,1,20,1,7.6124,2.5147,3.027160297450988
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run2,17_caliper_tracetgt,512,1,20,2,7.9419,2.5277,3.141947224749773
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n20-run3,17_caliper_tracetgt,512,1,20,3,7.2582,2.5089,2.8929809876838455
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run1,00_noorca,1024,1,20,1,2.625,2.625,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run2,00_noorca,1024,1,20,2,2.6406,2.6406,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run3,00_noorca,1024,1,20,3,2.6284,2.6284,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run1,13_scorep,1024,1,20,1,2.7325,2.625,1.0409523809523809
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run2,13_scorep,1024,1,20,2,2.7425,2.6406,1.0385897144588352
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run3,13_scorep,1024,1,20,3,2.7347,2.6284,1.0404428549688023
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run1,17_caliper_tracetgt,1024,1,20,1,8.0334,2.625,3.0603428571428575
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run2,17_caliper_tracetgt,1024,1,20,2,7.6567,2.6406,2.8996061501173975
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n20-run3,17_caliper_tracetgt,1024,1,20,3,7.7211,2.6284,2.9375665804291584
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run1,00_noorca,2048,2,20,1,2.5358,2.5358,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run2,00_noorca,2048,2,20,2,2.5366,2.5366,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run3,00_noorca,2048,2,20,3,2.5416,2.5416,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run1,13_scorep,2048,2,20,1,2.6711,2.5358,1.0533559428977048
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run2,13_scorep,2048,2,20,2,2.7063,2.5366,1.0669005755736025
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run3,13_scorep,2048,2,20,3,2.6738,2.5416,1.0520144790683035
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run1,17_caliper_tracetgt,2048,2,20,1,8.3854,2.5358,3.3068065304834766
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run2,17_caliper_tracetgt,2048,2,20,2,7.8374,2.5366,3.089726405424584
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n20-run3,17_caliper_tracetgt,2048,2,20,3,8.2964,2.5416,3.2642429965376145
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run1,00_noorca,4096,4,20,1,2.9081,2.9081,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run2,00_noorca,4096,4,20,2,2.9228,2.9228,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run3,00_noorca,4096,4,20,3,2.9119,2.9119,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run1,13_scorep,4096,4,20,1,3.098,2.9081,1.0653003679378288
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run2,13_scorep,4096,4,20,2,3.1299,2.9228,1.070856712741207
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run3,13_scorep,4096,4,20,3,3.1051,2.9119,1.0663484322950652
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run1,17_caliper_tracetgt,4096,4,20,1,10.3601,2.9081,3.5624978508304386
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run2,17_caliper_tracetgt,4096,4,20,2,9.9145,2.9228,3.392123990693855
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n20-run3,17_caliper_tracetgt,4096,4,20,3,9.6701,2.9119,3.3208901404581197
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run1,00_noorca,512,1,200,1,26.7341,26.7341,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run2,00_noorca,512,1,200,2,26.6965,26.6965,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run3,00_noorca,512,1,200,3,26.8313,26.8313,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run1,13_scorep,512,1,200,1,31.7114,26.7341,1.186177952502609
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run2,13_scorep,512,1,200,2,31.6982,26.6965,1.1873541475474314
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run3,13_scorep,512,1,200,3,31.6066,26.8313,1.1779749769858339
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run1,17_caliper_tracetgt,512,1,200,1,84.2092,26.7341,3.14987974160342
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run2,17_caliper_tracetgt,512,1,200,2,86.5687,26.6965,3.2426984810742985
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r512-n200-run3,17_caliper_tracetgt,512,1,200,3,85.0203,26.8313,3.1686984976501327
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run1,00_noorca,1024,1,200,1,29.1007,29.1007,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run2,00_noorca,1024,1,200,2,29.1994,29.1994,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run3,00_noorca,1024,1,200,3,29.2374,29.2374,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run1,13_scorep,1024,1,200,1,34.0315,29.1007,1.1694392231114716
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run2,13_scorep,1024,1,200,2,34.0593,29.1994,1.1664383514729755
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run3,13_scorep,1024,1,200,3,34.0467,29.2374,1.1644913706417124
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run1,17_caliper_tracetgt,1024,1,200,1,92.2973,29.1007,3.171652228296914
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run2,17_caliper_tracetgt,1024,1,200,2,93.338,29.1994,3.1965725323123073
/mnt/ltio/orcajobs/suites/20260106,amr-agg1-r1024-n200-run3,17_caliper_tracetgt,1024,1,200,3,90.1778,29.2374,3.0843303440114376
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run1,00_noorca,2048,2,200,1,29.4369,29.4369,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run2,00_noorca,2048,2,200,2,29.4477,29.4477,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run3,00_noorca,2048,2,200,3,29.5024,29.5024,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run1,13_scorep,2048,2,200,1,33.1972,29.4369,1.127741032513614
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run2,13_scorep,2048,2,200,2,33.1865,29.4477,1.1269640752928072
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run3,13_scorep,2048,2,200,3,33.1563,29.5024,1.123850940940398
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run1,17_caliper_tracetgt,2048,2,200,1,97.1082,29.4369,3.298859594590463
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run2,17_caliper_tracetgt,2048,2,200,2,105.5408,29.4477,3.584008258709509
/mnt/ltio/orcajobs/suites/20260106,amr-agg2-r2048-n200-run3,17_caliper_tracetgt,2048,2,200,3,97.1567,29.5024,3.2931795379358966
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run1,00_noorca,4096,4,200,1,33.9021,33.9021,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run2,00_noorca,4096,4,200,2,33.9543,33.9543,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run3,00_noorca,4096,4,200,3,33.9974,33.9974,1.0
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run1,13_scorep,4096,4,200,1,40.9286,33.9021,1.207258547405618
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run2,13_scorep,4096,4,200,2,40.9971,33.9543,1.207419973317076
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run3,13_scorep,4096,4,200,3,40.9657,33.9974,1.204965673845647
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run1,17_caliper_tracetgt,4096,4,200,1,161.7135,33.9021,4.77001424690506
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run2,17_caliper_tracetgt,4096,4,200,2,159.3777,33.9543,4.693888550198355
/mnt/ltio/orcajobs/suites/20260106,amr-agg4-r4096-n200-run3,17_caliper_tracetgt,4096,4,200,3,389.0746,33.9974,11.444245736438669
