label,mode,rows,ser_us,write_us,total_us,rows_per_sec,bytes,path
json,jsnl,5000000,891347,508432,1399779,3571992.44,419077555,data_json.jsonl
csv,csv,5000000,709491,338701,1048192,4770118.45,124079260,data_csv.csv
pq_default,parq,5000000,112284,524116,636400,7856693.90,69983704,data_pq_default.parquet
pq_def_snappy,parq,5000000,114311,535319,649630,7696688.88,48506779,data_pq_def_snappy.parquet
pq_nodict,parq,5000000,109891,375473,485364,10301546.88,183048456,data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,111885,302438,414323,12067879.41,56733926,data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,109921,207695,317616,15742279.99,183048456,data_pq_uncomp.parquet
pq_nostats,parq,5000000,108014,194447,302461,16531056.90,183033980,data_pq_nostats.parquet
json,jsnl,5000000,868319,718016,1586335,3151919.36,419077262,data_json.jsonl
csv,csv,5000000,697948,300685,998633,5006844.36,124076550,data_csv.csv
pq_default,parq,5000000,107025,514747,621772,8041532.91,69976568,data_pq_default.parquet
pq_def_snappy,parq,5000000,107167,581702,688869,7258274.07,48513392,data_pq_def_snappy.parquet
pq_nodict,parq,5000000,109661,230852,340513,14683727.20,183048456,data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,118665,376444,495109,10098786.33,56732444,data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,115409,259743,375152,13327931.08,183048456,data_pq_uncomp.parquet
pq_nostats,parq,5000000,112065,185954,298019,16777453.79,183033980,data_pq_nostats.parquet
json,jsnl,5000000,877965,755507,1633472,3060964.62,419078335,data_json.jsonl
csv,csv,5000000,709395,302639,1012034,4940545.48,124078572,data_csv.csv
pq_default,parq,5000000,111277,488915,600192,8330667.52,69974264,data_pq_default.parquet
pq_def_snappy,parq,5000000,119560,525641,645201,7749523.02,48510556,data_pq_def_snappy.parquet
pq_nodict,parq,5000000,127909,308558,436467,11455619.78,183048456,data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,127313,337963,465276,10746309.72,56731746,data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,118482,320612,439094,11387083.40,183048456,data_pq_uncomp.parquet
pq_nostats,parq,5000000,112687,213672,326359,15320551.91,183033980,data_pq_nostats.parquet
