label,mode,rows,ser_us,write_us,total_us,rows_per_sec,bytes,path
json,jsnl,5000000,2089171,1472757,3561928,1403734.16,419080147,/mnt/ltio/pqbench/data_json.jsonl
csv,csv,5000000,1842125,581107,2423232,2063360.01,124078214,/mnt/ltio/pqbench/data_csv.csv
pq_default,parq,5000000,472200,1144933,1617133,3091891.64,69981992,/mnt/ltio/pqbench/data_pq_default.parquet
pq_def_snappy,parq,5000000,484380,1256519,1740899,2872079.31,48506507,/mnt/ltio/pqbench/data_pq_def_snappy.parquet
pq_nodict,parq,5000000,453847,558686,1012533,4938110.66,183048456,/mnt/ltio/pqbench/data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,451093,712757,1163850,4296086.27,56480038,/mnt/ltio/pqbench/data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,365808,556840,922648,5419184.78,183048456,/mnt/ltio/pqbench/data_pq_uncomp.parquet
pq_nostats,parq,5000000,375136,390682,765818,6528966.41,183033980,/mnt/ltio/pqbench/data_pq_nostats.parquet
json,jsnl,5000000,2144663,1587508,3732171,1339702.82,419078589,/mnt/ltio/pqbench/data_json.jsonl
csv,csv,5000000,1827366,623129,2450495,2040404.08,124077161,/mnt/ltio/pqbench/data_csv.csv
pq_default,parq,5000000,454755,1161286,1616041,3093980.91,69978520,/mnt/ltio/pqbench/data_pq_default.parquet
pq_def_snappy,parq,5000000,452452,1260878,1713330,2918293.62,48508514,/mnt/ltio/pqbench/data_pq_def_snappy.parquet
pq_nodict,parq,5000000,338318,603991,942309,5306115.09,183048456,/mnt/ltio/pqbench/data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,416441,716949,1133390,4411544.13,56478565,/mnt/ltio/pqbench/data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,457039,597256,1054295,4742505.66,183048456,/mnt/ltio/pqbench/data_pq_uncomp.parquet
pq_nostats,parq,5000000,403448,439048,842496,5934746.28,183033980,/mnt/ltio/pqbench/data_pq_nostats.parquet
json,jsnl,5000000,2050611,1588996,3639607,1373774.70,419079519,/mnt/ltio/pqbench/data_json.jsonl
csv,csv,5000000,1821012,607002,2428014,2059296.20,124077106,/mnt/ltio/pqbench/data_csv.csv
pq_default,parq,5000000,456033,1173665,1629698,3068053.10,69977288,/mnt/ltio/pqbench/data_pq_default.parquet
pq_def_snappy,parq,5000000,387332,1246509,1633841,3060273.31,48504889,/mnt/ltio/pqbench/data_pq_def_snappy.parquet
pq_nodict,parq,5000000,479814,594584,1074398,4653768.90,183048456,/mnt/ltio/pqbench/data_pq_nodict.parquet
pq_nodict_snappy,parq,5000000,419244,716590,1135834,4402051.71,56480643,/mnt/ltio/pqbench/data_pq_nodict_snappy.parquet
pq_uncomp,parq,5000000,436015,590053,1026068,4872971.38,183048456,/mnt/ltio/pqbench/data_pq_uncomp.parquet
pq_nostats,parq,5000000,454285,438350,892635,5601393.63,183033980,/mnt/ltio/pqbench/data_pq_nostats.parquet
