query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=34",365343380
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",365707252
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=41232775",370719598
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",78480
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",94385
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",477779
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=34",363302431
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",363429487
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=41232775",369456747
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",77913
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",96531
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",433717
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=34",363157794
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",368721271
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=41232775",364380186
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",71936
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",97783
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",453487
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=247",567098559
