root,name,profile,ranks,aggs,steps,run_id,time_secs,time_secs_base,ratio
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n20-run1,10_tau_tracetgt,512,1,20,1,2.6642,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n20-run1,11_dftracer,512,1,20,1,2.5656,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n20-run1,18_caliper_tracetgt,512,1,20,1,2.5949,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n20-run1,10_tau_tracetgt,1024,1,20,1,2.7896,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n20-run1,11_dftracer,1024,1,20,1,2.6688,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n20-run1,18_caliper_tracetgt,1024,1,20,1,2.7444,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n20-run1,10_tau_tracetgt,2048,2,20,1,2.634,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n20-run1,11_dftracer,2048,2,20,1,2.5766,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n20-run1,18_caliper_tracetgt,2048,2,20,1,2.6099,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg4-r4096-n20-run1,10_tau_tracetgt,4096,4,20,1,3.0909,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg4-r4096-n20-run1,11_dftracer,4096,4,20,1,2.9927,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg4-r4096-n20-run1,13_scorep,4096,4,20,1,0.0,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg4-r4096-n20-run1,18_caliper_tracetgt,4096,4,20,1,3.0357,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run1,10_tau_tracetgt,512,1,2000,1,354.4801,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run2,10_tau_tracetgt,512,1,2000,2,351.4152,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run3,10_tau_tracetgt,512,1,2000,3,355.1128,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run1,11_dftracer,512,1,2000,1,435.1009,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run2,11_dftracer,512,1,2000,2,436.1721,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run3,11_dftracer,512,1,2000,3,459.0146,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run1,18_caliper_tracetgt,512,1,2000,1,0.0,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run2,18_caliper_tracetgt,512,1,2000,2,0.0,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run3,18_caliper_tracetgt,512,1,2000,3,0.0,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run1,10_tau_tracetgt,1024,1,2000,1,391.9897,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run2,10_tau_tracetgt,1024,1,2000,2,394.0459,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run3,10_tau_tracetgt,1024,1,2000,3,390.9696,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run1,11_dftracer,1024,1,2000,1,555.4599,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run2,11_dftracer,1024,1,2000,2,545.7315,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run3,11_dftracer,1024,1,2000,3,552.5276,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run1,18_caliper_tracetgt,1024,1,2000,1,0.0,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run2,18_caliper_tracetgt,1024,1,2000,2,0.0,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run3,18_caliper_tracetgt,1024,1,2000,3,0.0,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n2000-run1,10_tau_tracetgt,2048,2,2000,1,393.9815,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n2000-run1,11_dftracer,2048,2,2000,1,659.6519,,
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n2000-run1,18_caliper_tracetgt,2048,2,2000,1,0.0,,
