root,name,profile,ranks,aggs,steps,run_id,trace_size,evtcnt
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n20-run1,10_tau_tracetgt,512,1,20,1,677024342.0,54470262
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n20-run1,11_dftracer,512,1,20,1,2338339771.0,19118478
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n20-run1,18_caliper_tracetgt,512,1,20,1,11317241419.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run1,10_tau_tracetgt,512,1,2000,1,70710308958.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run1,11_dftracer,512,1,2000,1,243708280220.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run1,18_caliper_tracetgt,512,1,2000,1,198484393.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run2,10_tau_tracetgt,512,1,2000,2,70676461461.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run2,11_dftracer,512,1,2000,2,244636195469.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run2,18_caliper_tracetgt,512,1,2000,2,198418489.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run3,10_tau_tracetgt,512,1,2000,3,70724691177.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run3,11_dftracer,512,1,2000,3,247220850278.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r512-n2000-run3,18_caliper_tracetgt,512,1,2000,3,380399742.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n20-run1,10_tau_tracetgt,1024,1,20,1,1194656657.0,95584282
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n20-run1,11_dftracer,1024,1,20,1,3583771663.0,29804356
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n20-run1,18_caliper_tracetgt,1024,1,20,1,16449304580.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run1,10_tau_tracetgt,1024,1,2000,1,126467350729.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run1,11_dftracer,1024,1,2000,1,464387699589.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run1,18_caliper_tracetgt,1024,1,2000,1,198469608.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run2,10_tau_tracetgt,1024,1,2000,2,126375486548.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run2,11_dftracer,1024,1,2000,2,462889646612.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run2,18_caliper_tracetgt,1024,1,2000,2,198756400.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run3,10_tau_tracetgt,1024,1,2000,3,126371118429.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run3,11_dftracer,1024,1,2000,3,463485036753.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg1-r1024-n2000-run3,18_caliper_tracetgt,1024,1,2000,3,2333879288.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n20-run1,10_tau_tracetgt,2048,2,20,1,2099940979.0,167386506
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n20-run1,11_dftracer,2048,2,20,1,5788032666.0,48705304
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n20-run1,18_caliper_tracetgt,2048,2,20,1,23393274305.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n2000-run1,10_tau_tracetgt,2048,2,2000,1,208902563335.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n2000-run1,11_dftracer,2048,2,2000,1,741898674079.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg2-r2048-n2000-run1,18_caliper_tracetgt,2048,2,2000,1,201774366.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg4-r4096-n20-run1,10_tau_tracetgt,4096,4,20,1,4648492743.0,370187684
/mnt/ltio/orcajobs/suites/20251230,amr-agg4-r4096-n20-run1,11_dftracer,4096,4,20,1,13749050454.0,114554449
/mnt/ltio/orcajobs/suites/20251230,amr-agg4-r4096-n20-run1,13_scorep,4096,4,20,1,0.0,-1
/mnt/ltio/orcajobs/suites/20251230,amr-agg4-r4096-n20-run1,18_caliper_tracetgt,4096,4,20,1,61359986225.0,-1
