root,name,profile,ranks,aggs,steps,run_id,time_secs,time_secs_base,ratio
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n20-run1,07_or_tracetgt,512,1,20,1,2.6032,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n20-run1,11_dftracer,512,1,20,1,2.5801,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n20-run1,13_scorep,512,1,20,1,2.6381,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n20-run1,17_caliper_tracetgt,512,1,20,1,7.6741,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n20-run1,07_or_tracetgt,1024,1,20,1,2.6894,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n20-run1,11_dftracer,1024,1,20,1,2.6806,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n20-run1,13_scorep,1024,1,20,1,2.7193,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n20-run1,17_caliper_tracetgt,1024,1,20,1,8.6708,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n20-run1,07_or_tracetgt,2048,2,20,1,2.5394,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n20-run1,11_dftracer,2048,2,20,1,2.5715,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n20-run1,13_scorep,2048,2,20,1,0.0,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n20-run1,17_caliper_tracetgt,2048,2,20,1,9.1587,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n20-run1,07_or_tracetgt,4096,4,20,1,3.052,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n20-run1,11_dftracer,4096,4,20,1,2.9669,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n20-run1,17_caliper_tracetgt,4096,4,20,1,18.0534,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n200-run1,07_or_tracetgt,512,1,200,1,27.4024,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n200-run1,11_dftracer,512,1,200,1,39.2609,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n200-run1,13_scorep,512,1,200,1,32.0702,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n200-run1,17_caliper_tracetgt,512,1,200,1,88.1729,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n200-run1,07_or_tracetgt,1024,1,200,1,29.6945,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n200-run1,11_dftracer,1024,1,200,1,33.3059,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n200-run1,17_caliper_tracetgt,1024,1,200,1,97.7175,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n200-run1,07_or_tracetgt,2048,2,200,1,30.0631,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n200-run1,11_dftracer,2048,2,200,1,37.9121,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n200-run1,17_caliper_tracetgt,2048,2,200,1,107.9566,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n200-run1,07_or_tracetgt,4096,4,200,1,34.7027,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n200-run1,11_dftracer,4096,4,200,1,73.405,,
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n200-run1,17_caliper_tracetgt,4096,4,200,1,176.8416,,
