root,name,profile,ranks,aggs,steps,run_id,trace_size,evtcnt
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n20-run1,07_or_tracetgt,512,1,20,1,182334843.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n20-run1,11_dftracer,512,1,20,1,2388737318.0,19210849
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n20-run1,13_scorep,512,1,20,1,1970313367.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n20-run1,17_caliper_tracetgt,512,1,20,1,5498316801.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n200-run1,07_or_tracetgt,512,1,200,1,1633489874.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n200-run1,11_dftracer,512,1,200,1,23717131943.0,188959390
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n200-run1,13_scorep,512,1,200,1,10098712946.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r512-n200-run1,17_caliper_tracetgt,512,1,200,1,56745022838.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n20-run1,07_or_tracetgt,1024,1,20,1,293457517.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n20-run1,11_dftracer,1024,1,20,1,3643906030.0,29808373
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n20-run1,13_scorep,1024,1,20,1,2912230840.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n20-run1,17_caliper_tracetgt,1024,1,20,1,8835356673.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n200-run1,07_or_tracetgt,1024,1,200,1,2746809264.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n200-run1,11_dftracer,1024,1,200,1,36392904088.0,294572797
/mnt/ltio/orcajobs/suites/20260102,amr-agg1-r1024-n200-run1,17_caliper_tracetgt,1024,1,200,1,105447259955.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n20-run1,07_or_tracetgt,2048,2,20,1,503082022.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n20-run1,11_dftracer,2048,2,20,1,5823800345.0,48648344
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n20-run1,13_scorep,2048,2,20,1,0.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n20-run1,17_caliper_tracetgt,2048,2,20,1,15165682852.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n200-run1,07_or_tracetgt,2048,2,200,1,4577279147.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n200-run1,11_dftracer,2048,2,200,1,59027606873.0,485785442
/mnt/ltio/orcajobs/suites/20260102,amr-agg2-r2048-n200-run1,17_caliper_tracetgt,2048,2,200,1,189157565431.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n20-run1,07_or_tracetgt,4096,4,20,1,1155194243.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n20-run1,11_dftracer,4096,4,20,1,13963398040.0,114840301
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n20-run1,17_caliper_tracetgt,4096,4,20,1,39754506066.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n200-run1,07_or_tracetgt,4096,4,200,1,11711566576.0,-1
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n200-run1,11_dftracer,4096,4,200,1,160074691975.0,1286770581
/mnt/ltio/orcajobs/suites/20260102,amr-agg4-r4096-n200-run1,17_caliper_tracetgt,4096,4,200,1,512712985325.0,-1
