query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",77681
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",103371
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",423553
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=247",560928823
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",570213087
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=48636056",559407410
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",79305
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",98865
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",433581
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=247",556545327
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",560331084
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=48636056",562586115
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",81773
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",97781
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=10943110",445450
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=247",561198096
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",561200185
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg2-r2048-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=48636056",559912131
