tier,step,rows_in,rows_out,ts
agg,-1.0,0.0,0.0,2026/01/16-22:07:06.008
agg,0.0,0.0,0.0,2026/01/16-22:09:16.049
agg,1.0,0.0,0.0,2026/01/16-22:09:16.061
agg,2.0,0.0,0.0,2026/01/16-22:09:16.071
agg,3.0,0.0,0.0,2026/01/16-22:09:16.086
agg,4.0,0.0,0.0,2026/01/16-22:09:16.099
agg,5.0,0.0,0.0,2026/01/16-22:09:17.014
agg,6.0,0.0,0.0,2026/01/16-22:09:17.030
agg,7.0,0.0,0.0,2026/01/16-22:09:17.044
agg,8.0,0.0,0.0,2026/01/16-22:09:17.061
agg,9.0,0.0,0.0,2026/01/16-22:09:17.075
agg,10.0,0.0,0.0,2026/01/16-22:09:17.091
agg,11.0,0.0,0.0,2026/01/16-22:09:18.007
agg,12.0,0.0,0.0,2026/01/16-22:09:18.022
agg,13.0,0.0,0.0,2026/01/16-22:09:18.043
agg,14.0,0.0,0.0,2026/01/16-22:09:18.056
agg,15.0,0.0,0.0,2026/01/16-22:09:18.072
agg,16.0,0.0,0.0,2026/01/16-22:09:18.089
agg,17.0,0.0,0.0,2026/01/16-22:09:19.006
agg,18.0,0.0,0.0,2026/01/16-22:09:19.020
agg,19.0,0.0,0.0,2026/01/16-22:09:19.037
agg,20.0,0.0,0.0,2026/01/16-22:09:19.052
agg,21.0,0.0,0.0,2026/01/16-22:09:19.066
agg,22.0,0.0,0.0,2026/01/16-22:09:19.083
agg,23.0,0.0,0.0,2026/01/16-22:09:20.005
agg,24.0,0.0,0.0,2026/01/16-22:09:20.027
agg,25.0,0.0,0.0,2026/01/16-22:09:20.039
agg,26.0,0.0,0.0,2026/01/16-22:09:20.054
agg,27.0,0.0,0.0,2026/01/16-22:09:20.065
agg,28.0,0.0,0.0,2026/01/16-22:09:20.078
agg,29.0,0.0,0.0,2026/01/16-22:09:20.093
agg,30.0,0.0,0.0,2026/01/16-22:09:21.008
agg,31.0,0.0,0.0,2026/01/16-22:09:21.022
agg,32.0,0.0,0.0,2026/01/16-22:09:21.039
