name,nranks,naggs,nsteps,run_id,time_secs,time_secs_base,ratio
00_noorca,512,1,20,1,2.5095,2.5095,1.0
01_tracers_disabled,512,1,20,1,2.5474,2.5095,1.0151026100816896
04_tracendrop_agg_tgt,512,1,20,1,2.5705,2.5095,1.0243076310021917
05_trace_mpisync,512,1,20,1,2.5626,2.5095,1.0211595935445308
07_trace_tgt,512,1,20,1,2.5733,2.5095,1.0254233911137678
08_tau_default,512,1,20,1,2.6779,2.5095,1.0671050009962144
10_tau_tracetgt,512,1,20,1,2.6639,2.5095,1.0615262004383343
11_dftracer,512,1,20,1,2.5632,2.5095,1.0213986849970114
00_noorca,512,1,20,2,2.5099,2.5099,1.0
01_tracers_disabled,512,1,20,2,2.5472,2.5099,1.0148611498466076
04_tracendrop_agg_tgt,512,1,20,2,2.5803,2.5099,1.0280489262520418
05_trace_mpisync,512,1,20,2,2.5443,2.5099,1.0137057253277022
07_trace_tgt,512,1,20,2,2.5749,2.5099,1.025897446113391
08_tau_default,512,1,20,2,2.6728,2.5099,1.0649029841826367
10_tau_tracetgt,512,1,20,2,2.6604,2.5099,1.0599625483086976
11_dftracer,512,1,20,2,2.5604,2.5099,1.0201203235188654
00_noorca,512,1,20,3,2.5154,2.5154,1.0
01_tracers_disabled,512,1,20,3,2.5488,2.5154,1.013278206249503
04_tracendrop_agg_tgt,512,1,20,3,2.5716,2.5154,1.0223423709946728
05_trace_mpisync,512,1,20,3,2.5504,2.5154,1.0139142879860061
07_trace_tgt,512,1,20,3,2.5714,2.5154,1.0222628607776099
08_tau_default,512,1,20,3,2.6746,2.5154,1.0632901327820623
10_tau_tracetgt,512,1,20,3,2.6598,2.5154,1.0574063767194084
11_dftracer,512,1,20,3,2.5614,2.5154,1.0182873499244651
00_noorca,512,1,2000,1,292.9879,292.9879,1.0
01_tracers_disabled,512,1,2000,1,304.4796,292.9879,1.039222438878875
04_tracendrop_agg_tgt,512,1,2000,1,305.093,292.9879,1.0413160406965611
05_trace_mpisync,512,1,2000,1,304.0248,292.9879,1.0376701563443405
07_trace_tgt,512,1,2000,1,306.2071,292.9879,1.0451185868085338
08_tau_default,512,1,2000,1,307.7533,292.9879,1.0503959378527237
10_tau_tracetgt,512,1,2000,1,360.4711,292.9879,1.2303276005596133
11_dftracer,512,1,2000,1,354.9771,292.9879,1.2115759729326705
00_noorca,512,1,2000,2,296.2107,296.2107,1.0
01_tracers_disabled,512,1,2000,2,303.3966,296.2107,1.02425942074341
04_tracendrop_agg_tgt,512,1,2000,2,302.9874,296.2107,1.022877971660038
05_trace_mpisync,512,1,2000,2,301.41,296.2107,1.0175527082580071
07_trace_tgt,512,1,2000,2,303.7726,296.2107,1.0255287874475838
08_tau_default,512,1,2000,2,306.4893,296.2107,1.034700299482767
10_tau_tracetgt,512,1,2000,2,359.1716,296.2107,1.212554441821312
11_dftracer,512,1,2000,2,351.7617,296.2107,1.1875388026158409
00_noorca,512,1,2000,3,294.6676,294.6676,1.0
01_tracers_disabled,512,1,2000,3,302.904,294.6676,1.0279514951762596
04_tracendrop_agg_tgt,512,1,2000,3,302.8931,294.6676,1.027914504343199
05_trace_mpisync,512,1,2000,3,302.1215,294.6676,1.02529596060103
07_trace_tgt,512,1,2000,3,303.3997,294.6676,1.0296337296669196
08_tau_default,512,1,2000,3,306.2247,294.6676,1.039220803373021
10_tau_tracetgt,512,1,2000,3,356.9087,294.6676,1.2112247834509122
11_dftracer,512,1,2000,3,351.1705,294.6676,1.1917513157198145
00_noorca,1024,1,20,1,4.0004,4.0004,1.0
01_tracers_disabled,1024,1,20,1,4.0428,4.0004,1.0105989401059894
04_tracendrop_agg_tgt,1024,1,20,1,4.0742,4.0004,1.0184481551844817
05_trace_mpisync,1024,1,20,1,4.053,4.0004,1.0131486851314868
07_trace_tgt,1024,1,20,1,4.0731,4.0004,1.018173182681732
08_tau_default,1024,1,20,1,4.2234,4.0004,1.0557444255574442
10_tau_tracetgt,1024,1,20,1,4.2135,4.0004,1.0532696730326967
11_dftracer,1024,1,20,1,4.0573,4.0004,1.0142235776422357
00_noorca,1024,1,20,2,3.9952,3.9952,1.0
01_tracers_disabled,1024,1,20,2,4.0487,3.9952,1.0133910692831398
04_tracendrop_agg_tgt,1024,1,20,2,4.1015,3.9952,1.0266069283139767
05_trace_mpisync,1024,1,20,2,4.0399,3.9952,1.0111884261113337
07_trace_tgt,1024,1,20,2,4.0817,3.9952,1.0216509811774128
08_tau_default,1024,1,20,2,4.2333,3.9952,1.0595965158189826
10_tau_tracetgt,1024,1,20,2,4.2096,3.9952,1.0536643972767321
11_dftracer,1024,1,20,2,4.0604,3.9952,1.0163195835002001
00_noorca,1024,1,20,3,3.9856,3.9856,1.0
01_tracers_disabled,1024,1,20,3,4.0436,3.9856,1.0145523885989562
04_tracendrop_agg_tgt,1024,1,20,3,4.077,3.9856,1.0229325572059413
05_trace_mpisync,1024,1,20,3,4.0527,3.9856,1.016835608189482
07_trace_tgt,1024,1,20,3,4.0785,3.9856,1.0233089120835006
08_tau_default,1024,1,20,3,4.2268,3.9856,1.0605178643115214
10_tau_tracetgt,1024,1,20,3,4.2002,3.9856,1.053843837816138
