query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",52335
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",59790
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",344069
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=117",319095866
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",318743465
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=29802229",316032342
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",58869
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",64739
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",336088
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=117",317155448
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",321641662
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=29802229",318621748
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",47668
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",68951
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",306984
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=117",317534656
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",320561373
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=29802229",318766236
