query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=51",954792283
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",954794685
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=81251364",976352202
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",161605
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=1",132732
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=21300663",859380
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=51",929806414
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",955439933
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=81251364",953774283
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",123879
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=1",137176
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=21300663",858785
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=51",956583558
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",968998985
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=81251364",957762055
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=24",117085
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=1",148466
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg4-r4096-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=21300663",883988
