root,name,profile,ranks,aggs,steps,run_id,trace_size,evtcnt
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,00_noorca,512,1,20,1,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,05_or_trace_mpisync,512,1,20,1,785676,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,07_or_tracetgt,512,1,20,1,181761676,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,10_tau_tracetgt,512,1,20,1,683341891,54979232
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,11_dftracer,512,1,20,1,2334441346,19088301
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,15_or_ntv_mpiwait_onlycnt,512,1,20,1,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,16_or_ntv_mpiwait_tracecnt,512,1,20,1,70292,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,17_or_ntv_kokkos,512,1,20,1,60017,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run1,00_noorca,512,1,2000,1,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run1,05_or_trace_mpisync,512,1,2000,1,72247779,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run1,07_or_tracetgt,512,1,2000,1,18860265583,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run1,10_tau_tracetgt,512,1,2000,1,70480875864,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run1,11_dftracer,512,1,2000,1,238460620051,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run1,15_or_ntv_mpiwait_onlycnt,512,1,2000,1,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run1,16_or_ntv_mpiwait_tracecnt,512,1,2000,1,5401157,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run1,17_or_ntv_kokkos,512,1,2000,1,5161547,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run2,00_noorca,512,1,2000,2,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run2,05_or_trace_mpisync,512,1,2000,2,73261204,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run2,07_or_tracetgt,512,1,2000,2,19970836456,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run2,10_tau_tracetgt,512,1,2000,2,70556219595,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run2,11_dftracer,512,1,2000,2,239306267940,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run2,15_or_ntv_mpiwait_onlycnt,512,1,2000,2,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run2,16_or_ntv_mpiwait_tracecnt,512,1,2000,2,5251753,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run2,17_or_ntv_kokkos,512,1,2000,2,5161547,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run3,00_noorca,512,1,2000,3,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run3,05_or_trace_mpisync,512,1,2000,3,73275704,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run3,07_or_tracetgt,512,1,2000,3,20073074725,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run3,10_tau_tracetgt,512,1,2000,3,70520509508,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run3,11_dftracer,512,1,2000,3,239405142099,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run3,15_or_ntv_mpiwait_onlycnt,512,1,2000,3,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run3,16_or_ntv_mpiwait_tracecnt,512,1,2000,3,5442530,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n2000-run3,17_or_ntv_kokkos,512,1,2000,3,5161547,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,00_noorca,1024,1,20,1,0,-1
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,05_or_trace_mpisync,1024,1,20,1,1401333,-1
